"Wavelength, µm","n","k"
0.26,1.39,0.171
0.28,1.415,0.189
0.3,1.439,0.205
0.32,1.46,0.22
0.34,1.483,0.23
0.36,1.5,0.236
0.38,1.514,0.243
0.4,1.528,0.249
0.42,1.539,0.255
0.44,1.553,0.262
0.46,1.565,0.266
0.48,1.577,0.272
0.5,1.589,0.273
0.52,1.599,0.275
0.54,1.608,0.277
0.56,1.617,0.279
0.58,1.624,0.281
0.6,1.632,0.283
0.62,1.639,0.285
0.64,1.646,0.287
0.66,1.652,0.289
0.68,1.658,0.291
0.7,1.664,0.293
0.72,1.67,0.295
0.74,1.676,0.298
0.76,1.682,0.3
0.78,1.688,0.302
0.8,1.694,0.304
0.82,1.701,0.305
0.84,1.706,0.306
0.86,1.71,0.308
0.88,1.715,0.311
0.9,1.722,0.312
0.92,1.727,0.313
0.94,1.731,0.314
0.96,1.736,0.315
0.98,1.741,0.317
1,1.746,0.318
1.02,1.75,0.319
1.04,1.755,0.32
1.06,1.759,0.321
1.08,1.763,0.323
1.1,1.768,0.324
1.12,1.772,0.325
1.14,1.776,0.326
1.16,1.78,0.327
1.18,1.785,0.328
1.2,1.789,0.329
1.22,1.793,0.33
1.24,1.797,0.331
1.26,1.801,0.331
1.28,1.805,0.332
1.3,1.809,0.333
1.32,1.812,0.334
1.34,1.816,0.335
1.36,1.82,0.335
1.38,1.824,0.336
1.4,1.827,0.336
1.42,1.831,0.337
1.44,1.835,0.337
1.46,1.838,0.338
1.48,1.841,0.338
1.5,1.844,0.338
1.52,1.848,0.339
1.54,1.852,0.339
1.56,1.855,0.34
1.58,1.858,0.34
1.6,1.861,0.34
1.62,1.864,0.341
1.64,1.867,0.341
1.66,1.87,0.341
1.68,1.873,0.342
1.7,1.876,0.342
1.72,1.879,0.343
1.74,1.882,0.343
1.76,1.885,0.343
1.78,1.888,0.343
1.8,1.891,0.343
1.82,1.893,0.343
1.84,1.896,0.343
1.86,1.898,0.343
1.88,1.9,0.343
1.9,1.903,0.343
1.92,1.905,0.344
1.94,1.907,0.344
1.96,1.909,0.345
1.98,1.912,0.345
2,1.914,0.346
2.02,1.916,0.347
2.04,1.919,0.347
2.06,1.921,0.348
2.08,1.924,0.349
2.1,1.927,0.35
2.12,1.929,0.351
2.14,1.933,0.351
2.16,1.936,0.352
2.18,1.939,0.352
2.2,1.942,0.352
2.22,1.945,0.353
2.24,1.947,0.353
2.26,1.951,0.353
2.28,1.954,0.353
2.3,1.956,0.353
2.32,1.96,0.353
2.34,1.963,0.352
2.36,1.966,0.352
2.38,1.968,0.351
2.4,1.971,0.351
2.42,1.974,0.35
2.44,1.977,0.349
2.46,1.979,0.348
2.48,1.981,0.347
2.5,1.984,0.346
2.5126,1.985,0.346
2.5253,1.986,0.343
2.5381,1.985,0.345
2.551,1.988,0.344
2.5641,1.988,0.343
2.5773,1.989,0.343
2.5907,1.991,0.343
2.6042,1.992,0.342
2.6178,1.993,0.343
2.6316,1.995,0.342
2.6455,1.995,0.342
2.6596,1.997,0.341
2.6738,1.997,0.342
2.6882,2,0.341
2.7027,2,0.34
2.7174,2.002,0.34
2.7322,2.003,0.339
2.7473,2.003,0.339
2.7624,2.004,0.339
2.7778,2.006,0.34
2.7933,2.007,0.338
2.809,2.007,0.339
2.8249,2.011,0.34
2.8409,2.012,0.337
2.8571,2.012,0.337
2.8736,2.013,0.337
2.8902,2.014,0.336
2.907,2.014,0.337
2.924,2.015,0.337
2.9412,2.017,0.339
2.9586,2.021,0.337
2.9762,2.021,0.336
2.994,2.022,0.335
3.012,2.024,0.338
3.0303,2.025,0.334
3.0488,2.026,0.333
3.0675,2.026,0.333
3.0864,2.026,0.335
3.1056,2.028,0.334
3.125,2.03,0.335
3.1447,2.032,0.334
3.1646,2.032,0.333
3.1847,2.034,0.334
3.2051,2.035,0.332
3.2258,2.036,0.333
3.2468,2.037,0.334
3.268,2.039,0.333
3.2895,2.041,0.334
3.3113,2.043,0.333
3.3333,2.045,0.333
3.3557,2.048,0.33
3.3784,2.045,0.329
3.4014,2.047,0.333
3.4247,2.049,0.331
3.4483,2.05,0.332
3.4722,2.052,0.331
3.4965,2.053,0.329
3.5211,2.054,0.33
3.5461,2.056,0.33
3.5714,2.058,0.331
3.5971,2.059,0.328
3.6232,2.058,0.329
3.6496,2.062,0.329
3.6765,2.062,0.328
3.7037,2.063,0.328
3.7313,2.066,0.328
3.7594,2.067,0.328
3.7879,2.069,0.328
3.8168,2.071,0.327
3.8462,2.071,0.325
3.876,2.071,0.326
3.9063,2.075,0.326
3.937,2.076,0.326
3.9683,2.077,0.325
4,2.076,0.326
4.0323,2.08,0.326
4.065,2.081,0.324
4.0984,2.082,0.324
4.1322,2.084,0.325
4.1667,2.086,0.322
4.2017,2.086,0.323
4.2373,2.089,0.322
4.2735,2.089,0.321
4.3103,2.09,0.321
4.3478,2.091,0.322
4.386,2.093,0.32
4.4248,2.093,0.321
4.4643,2.095,0.321
4.5045,2.096,0.32
4.5455,2.097,0.32
4.5872,2.098,0.321
4.6296,2.1,0.321
4.6729,2.1,0.321
4.717,2.102,0.322
4.7619,2.103,0.321
4.8077,2.103,0.321
4.8544,2.105,0.321
4.902,2.106,0.322
4.9505,2.108,0.321
5,2.107,0.327
5.0505,2.115,0.328
5.102,2.118,0.324
5.1546,2.118,0.323
5.2083,2.12,0.322
5.2632,2.122,0.32
5.3191,2.122,0.319
5.3763,2.124,0.319
5.4348,2.123,0.318
5.4945,2.123,0.318
5.5556,2.125,0.316
5.618,2.122,0.317
5.6818,2.123,0.317
5.7471,2.121,0.316
5.814,2.119,0.32
5.8824,2.12,0.323
5.9524,2.12,0.323
6.0241,2.115,0.326
6.0976,2.114,0.333
6.1728,2.115,0.343
6.25,2.122,0.353
6.3291,2.133,0.356
6.4103,2.141,0.354
6.4935,2.145,0.351
6.5789,2.146,0.349
6.6667,2.146,0.35
6.7568,2.146,0.353
6.8493,2.148,0.359
6.9444,2.154,0.363
7.0423,2.16,0.365
7.1429,2.162,0.365
7.2464,2.165,0.369
7.3529,2.17,0.372
7.4627,2.173,0.376
7.5758,2.179,0.38
7.6923,2.185,0.383
7.8125,2.192,0.389
7.9365,2.202,0.391
8.0645,2.21,0.391
8.1967,2.217,0.392
8.3333,2.225,0.393
8.4746,2.234,0.393
8.6207,2.244,0.394
8.7719,2.254,0.389
8.9286,2.261,0.386
9.0909,2.269,0.381
9.2593,2.274,0.376
9.434,2.277,0.374
9.6154,2.283,0.373
9.8039,2.289,0.367
10,2.292,0.363
10.2041,2.295,0.358
10.4167,2.296,0.355
10.6383,2.294,0.351
10.8696,2.29,0.353
11.1111,2.288,0.362
11.3636,2.3,0.373
11.6279,2.307,0.366
11.9048,2.307,0.375
12.1951,2.321,0.382
12.5,2.334,0.377
12.8205,2.333,0.376
13.1579,2.342,0.391
13.5135,2.37,0.39
13.8889,2.378,0.373
14.2857,2.379,0.368
14.7059,2.383,0.367
15.1515,2.386,0.367
15.625,2.388,0.378
16.129,2.412,0.383
16.6667,2.425,0.373
17.2414,2.435,0.368
17.8571,2.444,0.361
18.5185,2.449,0.357
19.2308,2.454,0.354
20,2.461,0.355
20.8333,2.47,0.357
21.7391,2.482,0.357
22.7273,2.494,0.356
23.8095,2.508,0.354
25,2.519,0.353
26.3158,2.533,0.351
27.7778,2.546,0.349
29.4118,2.564,0.349
31.25,2.583,0.342
33.3333,2.597,0.336
35.7143,2.612,0.334
38.4615,2.631,0.334
41.6667,2.66,0.333
45.4545,2.697,0.323
50,2.731,0.295
55.5556,2.754,0.264